iter	Logloss
0	0.6395703527
1	0.5958291552
2	0.5657097569
3	0.5352491917
4	0.5200658194
5	0.5083604769
6	0.499782749
7	0.4910405825
8	0.4824397771
9	0.4745011102
10	0.4658626008
11	0.4598839356
12	0.4540589025
13	0.4503302192
14	0.4478282476
15	0.4442035289
16	0.441675706
17	0.438904157
18	0.4358911406
19	0.4328698962
20	0.4300588002
21	0.4277226468
22	0.4258323898
23	0.4238879921
24	0.4219279674
25	0.4185038205
26	0.4173133196
27	0.4134939928
28	0.4119928407
29	0.4099378106
30	0.4083287826
31	0.4063384957
32	0.404705596
33	0.4037644119
34	0.4028666447
35	0.401617438
36	0.400348937
37	0.3995010826
38	0.3989880639
39	0.398191724
40	0.3974275054
41	0.3950318846
42	0.3942580706
43	0.3937115522
44	0.393207919
45	0.3927987513
46	0.3919323062
47	0.3912953488
48	0.3905231291
49	0.3897550986
50	0.38933335
51	0.3879818046
52	0.3875677667
53	0.3840676983
54	0.383464534
55	0.3828284437
56	0.3815946859
57	0.3797923596
58	0.3789443377
59	0.3783573915
60	0.3777999375
61	0.3766462901
62	0.3758726843
63	0.3750385841
64	0.3739467214
65	0.373456446
66	0.3728233077
67	0.3721167901
68	0.3714194016
69	0.3706415089
70	0.3702639314
71	0.3696132335
72	0.3688886553
73	0.3684802882
74	0.367295592
75	0.3659138114
76	0.3651545191
77	0.3638230643
78	0.3630628961
79	0.3626591804
80	0.3617144751
81	0.3612734467
82	0.3608311968
83	0.3601782061
84	0.3595614908
85	0.3589359304
86	0.3583695331
87	0.3580441262
88	0.3573281235
89	0.3567021044
90	0.3561416001
91	0.355510162
92	0.3548650844
93	0.3543058085
94	0.3535693999
95	0.3529797271
96	0.3525588076
97	0.3517826074
98	0.3514001023
99	0.3509798747
100	0.3503899898
101	0.3499836714
102	0.3493490631
103	0.3486824107
104	0.3481986441
105	0.3470938433
106	0.3465370499
107	0.346266887
108	0.3457375025
109	0.3453070378
110	0.3447352958
111	0.3439040512
112	0.3434233395
113	0.3429367526
114	0.3427110384
115	0.3420759411
116	0.34178535
117	0.3412995392
118	0.3409619828
119	0.3403647551
120	0.3400870908
121	0.3397535064
122	0.3392074723
123	0.338883398
124	0.3386290009
125	0.338312129
126	0.3381061512
127	0.3376668508
128	0.3373631272
129	0.3371206747
130	0.3367053514
131	0.3362191497
132	0.3357479214
133	0.33551667
134	0.3350963866
135	0.3347496567
136	0.3341692577
137	0.3337501606
138	0.333389478
139	0.3331453555
140	0.3328496184
141	0.3325063598
142	0.3319708273
143	0.3310585117
144	0.3304790341
145	0.3301805199
146	0.3298007194
147	0.3295308605
148	0.3291718395
149	0.3288631636
