iter	Passed	Remaining
0	5	868
1	9	734
2	15	740
3	20	731
4	25	731
5	30	738
6	35	725
7	39	705
8	44	697
9	48	682
10	53	673
11	57	665
12	61	649
13	66	641
14	70	636
15	75	629
16	79	620
17	83	614
18	88	609
19	93	605
20	97	601
21	102	595
22	106	590
23	111	585
24	115	578
25	120	573
26	124	568
27	129	562
28	133	556
29	137	551
30	142	546
31	146	541
32	150	535
33	155	530
34	160	526
35	164	522
36	168	515
37	173	511
38	178	507
39	182	502
40	186	496
41	191	491
42	195	487
43	199	481
44	204	476
45	208	471
46	213	467
47	217	462
48	221	457
49	226	453
50	231	449
51	236	445
52	241	442
53	246	438
54	251	434
55	256	430
56	261	426
57	266	422
58	271	418
59	275	413
60	279	408
61	283	403
62	288	398
63	292	393
64	296	388
65	301	383
66	306	379
67	310	374
68	315	369
69	319	365
70	323	360
71	328	356
72	333	351
73	338	347
74	342	342
75	347	338
76	351	333
77	355	328
78	360	324
79	365	319
80	369	315
81	374	310
82	379	306
83	383	301
84	388	296
85	392	292
86	396	287
87	401	282
88	406	278
89	411	274
90	415	269
91	420	264
92	424	260
93	428	255
94	432	250
95	437	245
96	441	241
97	445	236
98	449	231
99	453	226
100	457	222
101	462	217
102	466	212
103	470	208
104	474	203
105	478	198
106	483	194
107	488	189
108	492	185
109	496	180
110	501	176
111	505	171
112	510	167
113	514	162
114	518	157
115	523	153
116	527	148
117	531	144
118	535	139
119	540	135
120	544	130
121	548	125
122	552	121
123	557	116
124	561	112
125	565	107
126	569	103
127	573	98
128	577	94
129	581	89
130	586	84
131	590	80
132	594	75
133	598	71
134	602	66
135	606	62
136	611	57
137	615	53
138	619	49
139	623	44
140	627	40
141	631	35
142	636	31
143	640	26
144	644	22
145	648	17
146	653	13
147	658	8
148	662	4
149	667	0
